tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Vabaduse pst,14,Vabaduse pst,14,2,"Tartu linn, Vabaduse pst 14",659244.04,6474718.49,58.383833,26.723075,ok,1,ME00770666,"Tartu maakond, Tartu linn, Tartu linn, Vabaduse pst 14",
Vabaduse pst,15,Vabaduse pst,15,1,"Tartu linn, Vabaduse pst 15",659068.10,6475628.74,58.392069,26.720701,multiple,2,CU00496102,"Tartu maakond, Tartu linn, Tartu linn, Lubja tn 5",
Vabaduse pst,11,Vabaduse pst,11,2,"Tartu linn, Vabaduse pst 11",658784.81,6475733.96,58.393114,26.715938,multiple,5,CU00496028,"Tartu maakond, Tartu linn, Tartu linn, Puiestee tn 11a",
Vabriku,10,Vabriku,10,1,"Tartu linn, Vabriku 10",658179.50,6473880.58,58.376710,26.704324,ok,1,EE00768024,"Tartu maakond, Tartu linn, Tartu linn, Vabriku tn 10",
Vabriku,6,Vabriku,6,1,"Tartu linn, Vabriku 6",658212.19,6473838.34,58.376313,26.704841,multiple,2,EE00756596,"Tartu maakond, Tartu linn, Tartu linn, Vabriku tn 6",
Vabriku,3,Vabriku,3,1,"Tartu linn, Vabriku 3",658187.92,6473914.30,58.377003,26.704483,multiple,5,EE00763554,"Tartu maakond, Tartu linn, Tartu linn, Vabriku tn 3",
Vaksali,4,Vaksali,4,1,"Tartu linn, Vaksali 4",658385.91,6473527.44,58.373460,26.707598,multiple,5,ME00757474,"Tartu maakond, Tartu linn, Tartu linn, Vaksali tn 4",
Valeria,8,Linda,8,1,"Tartu linn, Linda 8",659805.48,6473014.65,58.368350,26.731473,ok,1,EE00748380,"Tartu maakond, Tartu linn, Tartu linn, Linda tn 8",vana nimi 'Valeria' → 'Linda'
Vallikraavi,23,Vallikraavi,23,1,"Tartu linn, Vallikraavi 23",658798.90,6474022.19,58.377751,26.714993,ok,1,ME01956853,"Tartu maakond, Tartu linn, Tartu linn, Vallikraavi tn 23",
Vallikraavi,18,Vallikraavi,18,5,"Tartu linn, Vallikraavi 18",658830.25,6473958.18,58.377165,26.715478,ok,1,EE00769857,"Tartu maakond, Tartu linn, Tartu linn, Vallikraavi tn 18",
Vallikraavi,10,Vallikraavi,10,1,"Tartu linn, Vallikraavi 10",659096.98,6474046.26,58.377858,26.720099,ok,1,ME00772606,"Tartu maakond, Tartu linn, Tartu linn, Vallikraavi tn 10",
Vana,2,Vana,2,5,"Tartu linn, Vana 2",656144.11,6474434.37,58.382403,26.669929,multiple,3,ME03909289,"Tartu maakond, Tartu linn, Kandiküla, Vana-Kandi tee 2",
Vana-Savi,4,Vana-Savi,4,1,"Tartu linn, Vana-Savi 4",,,,,not_found,0,,,
Vene,30,Vene,30,1,"Tartu linn, Vene 30",,,,,not_found,0,,,
Vene,22,Vene,22,2,"Tartu linn, Vene 22",,,,,not_found,0,,,
Veski,5,Veski,5,2,"Tartu linn, Veski 5",658447.75,6474521.16,58.382355,26.709343,multiple,5,EE00749462,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 5",
Veski,13,Veski,13,1,"Tartu linn, Veski 13",658434.12,6474391.40,58.381193,26.709014,ok,1,ME00772740,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 13",
Veski,43,Veski,43,1,"Tartu linn, Veski 43",658497.79,6474117.08,58.378712,26.709918,ok,1,EE00757725,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 43",
Veski,17,Veski,17,1,"Tartu linn, Veski 17",658431.38,6474345.16,58.380782,26.708931,ok,1,EE01935171,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 17",
Veski,57,Veski,57,2,"Tartu linn, Veski 57",658555.32,6474022.50,58.377848,26.710826,ok,1,EE00769179,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 57",
Veski,27,Veski,27,2,"Tartu linn, Veski 27",658439.10,6474254.43,58.379963,26.709005,ok,1,EE00769067,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 27",
Veski,49,Veski,49,2,"Tartu linn, Veski 49",658515.61,6474063.34,58.378221,26.710188,ok,1,CU00491047,"Tartu maakond, Tartu linn, Tartu linn, Veski tn 49",
Viljandi,3,Viljandi,3,1,"Tartu linn, Viljandi 3",657685.65,6473336.78,58.372008,26.695514,multiple,5,EE00750570,"Tartu maakond, Tartu linn, Tartu linn, Viljandi mnt 3",
Vladimiri,3,,3,2,,,,,,manual_needed,0,,,"vana nimi 'Vladimiri' — asukoht ebaselge, vajab käsitsi paigutust"
Vladimiri,11,,11,1,,,,,,manual_needed,0,,,"vana nimi 'Vladimiri' — asukoht ebaselge, vajab käsitsi paigutust"
Vladimiri,14,,14,2,,,,,,manual_needed,0,,,"vana nimi 'Vladimiri' — asukoht ebaselge, vajab käsitsi paigutust"
Vladimiri,10,,10,2,,,,,,manual_needed,0,,,"vana nimi 'Vladimiri' — asukoht ebaselge, vajab käsitsi paigutust"
Võru,23,Võru,23,1,"Tartu linn, Võru 23",659202.95,6473217.34,58.370382,26.721334,multiple,5,EE00769014,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 23",
Võru,30,Võru,30,1,"Tartu linn, Võru 30",659269.73,6473419.47,58.372170,26.722618,multiple,4,EE00760333,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 30",
Võru,27,Võru,27,1,"Tartu linn, Võru 27",659195.60,6473161.25,58.369882,26.721176,multiple,5,EE00768713,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 27",
Võru,91,Võru,91,1,"Tartu linn, Võru 91",659231.45,6471398.97,58.354062,26.720553,multiple,2,EE00773024,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 91",
Võru,100,Võru,100,1,"Tartu linn, Võru 100",659268.74,6472934.16,58.367819,26.722265,ok,1,EE00772905,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 100",
Väike-Maarjamõisa,4,Väike-Maarjamõisa,4,1,"Tartu linn, Väike-Maarjamõisa 4",,,,,not_found,0,,,
Väike-Tähe,16,Väike-Tähe,16,2,"Tartu linn, Väike-Tähe 16",659306.79,6473385.39,58.371851,26.723227,ok,1,EE03590480,"Tartu maakond, Tartu linn, Tartu linn, Väike-Tähe tn 16",
Väike-Tähe,14,Väike-Tähe,14,1,"Tartu linn, Väike-Tähe 14",659296.14,6473357.41,58.371604,26.723019,ok,1,EE03583876,"Tartu maakond, Tartu linn, Tartu linn, Väike-Tähe tn 14",
Väike-Tähe,42,Väike-Tähe,42,1,"Tartu linn, Väike-Tähe 42",,,,,not_found,0,,,
Väike-Tähe,5,Väike-Tähe,5,3,"Tartu linn, Väike-Tähe 5",659390.43,6473434.02,58.372261,26.724678,ok,1,EE00772432,"Tartu maakond, Tartu linn, Tartu linn, Väike-Tähe tn 5",
Väike-Viljandi,10,Väike-Viljandi,10,5,"Tartu linn, Väike-Viljandi 10",,,,,not_found,0,,,
Väike-Viljandi,1,Väike-Viljandi,1,5,"Tartu linn, Väike-Viljandi 1",,,,,not_found,0,,,
Väljanäituse,13,Väljanäituse,13,1,"Tartu linn, Väljanäituse 13",,,,,not_found,0,,,
Õnne,7,Õnne,7,1,"Tartu linn, Õnne 7",659350.96,6472873.59,58.367251,26.723624,ok,1,EE00749593,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 7",
Õnne,24,Õnne,24,4,"Tartu linn, Õnne 24",659565.17,6472986.03,58.368178,26.727355,multiple,5,EE00768314,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 24",
Õnne,26,Õnne,26,1,"Tartu linn, Õnne 26",659596.74,6472985.53,58.368166,26.727901,multiple,3,EE00767568,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 26",
Õnne,39,Õnne,39,3,"Tartu linn, Õnne 39",659811.28,6472984.42,58.368070,26.731554,ok,1,EE00749616,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 39",
õnne,39,Õnne,39,1,"Tartu linn, Õnne 39",659811.28,6472984.42,58.368070,26.731554,ok,1,EE00749616,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 39",vana nimi 'õnne' → 'Õnne'
Õpetaja,3,Õpetaja,3,1,"Tartu linn, Õpetaja 3",,,,,not_found,0,,,
Ülikooli,28,Ülikooli,28,2,"Tartu linn, Ülikooli 28",,,,,not_found,0,,,
Ülikooli,30,Ülikooli,30,1,"Tartu linn, Ülikooli 30",,,,,not_found,0,,,
