tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Raatuse,100,Raatuse,100,2,"Tartu linn, Raatuse 100",660178.96,6474795.66,58.384191,26.739101,ok,1,EE00768790,"Tartu maakond, Tartu linn, Tartu linn, Raatuse tn 100",
Raatuse,57,Raatuse,57,1,"Tartu linn, Raatuse 57",659965.54,6474654.70,58.383004,26.735364,ok,1,EE00774633,"Tartu maakond, Tartu linn, Tartu linn, Raatuse tn 57",
Raatuse,10,Raatuse,10,2,"Tartu linn, Raatuse 10",660178.96,6474795.66,58.384191,26.739101,multiple,5,EE00768790,"Tartu maakond, Tartu linn, Tartu linn, Raatuse tn 100",
Raekoja,10,Raekoja,10,2,"Tartu linn, Raekoja 10",659248.41,6474346.93,58.380503,26.722886,ok,1,EE02172286,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 10",
Raekoja,97,Raekoja,97,1,"Tartu linn, Raekoja 97",,,,,not_found,0,,,
Raekoja,14,Raekoja,14,1,"Tartu linn, Raekoja 14",659286.00,6474352.56,58.380543,26.723540,ok,1,EE02148217,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 14",
Rebase,11,Rebase,11,2,"Tartu linn, Rebase 11",660043.50,6472984.32,58.367985,26.735532,ok,1,CU00492694,"Tartu maakond, Tartu linn, Tartu linn, Rebase tn 2a/11",
Riia,77,Riia,77,3,"Tartu linn, Riia 77",658101.45,6472672.91,58.365902,26.702143,ok,1,EE00774528,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 77",
Riia,63,Riia,63,3,"Tartu linn, Riia 63",658349.64,6472883.44,58.367695,26.706539,multiple,2,EE00768315,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 63",
Riia,43,Riia,43,1,"Tartu linn, Riia 43",658635.35,6473134.84,58.369853,26.711579,ok,1,ME00761945,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 43",
Riia,129,Riia,129,2,"Tartu linn, Riia 129",657577.07,6472283.48,58.362592,26.692930,ok,1,EE00774610,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 129",
Riia,103,Riia,103,1,"Tartu linn, Riia 103",657773.56,6472422.43,58.363768,26.696388,ok,1,EE00748821,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 103",
Riia,39,Riia,39,2,"Tartu linn, Riia 39",,,,,not_found,0,,,
Riia,115,Riia,115,4,"Tartu linn, Riia 115",657680.16,6472431.91,58.363892,26.694790,ok,1,EE00774597,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 115",
Riia,83,Riia,83,1,"Tartu linn, Riia 83",658024.54,6472610.00,58.365364,26.700803,ok,1,EE01640607,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 83",
Riia,19,Riia,19,1,"Tartu linn, Riia 19",659047.22,6473527.68,58.373229,26.718886,multiple,4,EE01937085,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 19",
Riia,121,Riia,121,1,"Tartu linn, Riia 121",657723.83,6472382.19,58.363427,26.695507,ok,1,EE00757997,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 121",
Riia,25,Riia,25,1,"Tartu linn, Riia 25",658919.60,6473384.66,58.371992,26.716618,multiple,2,ME00748826,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 25",
Riia,13,Riia,13,1,"Tartu linn, Riia 13",659182.00,6473591.83,58.373754,26.721236,multiple,5,EE00765953,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 13",
